date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:14	33258/33258	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:15%20GMT	https://templates.hibootstrap.com/paso/default/index.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/index.html	(from )
11:22:14	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Feb%202024%2010:22:13%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
11:22:14	163822/163822	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c170-27fee%22	https://templates.hibootstrap.com/paso/default/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:14	5153/5153	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c176-1421%22	https://templates.hibootstrap.com/paso/default/assets/css/meanmenu.min.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/meanmenu.min.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:15	66571/66571	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c172-1040b%22	https://templates.hibootstrap.com/paso/default/assets/css/boxicons.min.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/boxicons.min.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:15	1639/1639	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c175-667%22	https://templates.hibootstrap.com/paso/default/assets/css/flaticon.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:15	5235/5235	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c170-1473%22	https://templates.hibootstrap.com/paso/default/assets/css/magnific-popup.min.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/magnific-popup.min.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:15	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c171-11846%22	https://templates.hibootstrap.com/paso/default/assets/css/animate.min.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:16	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c174-d17%22	https://templates.hibootstrap.com/paso/default/assets/css/owl.carousel.min.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:16	129819/129819	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c175-1fb1b%22	https://templates.hibootstrap.com/paso/default/assets/css/style.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/style.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:16	12907/12907	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c173-326b%22	https://templates.hibootstrap.com/paso/default/assets/css/dark.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/dark.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:16	21465/21465	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6c174-53d9%22	https://templates.hibootstrap.com/paso/default/assets/css/responsive.css	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:17	3645/3645	---M--	200	added ('OK')	image/png	etag:%2264f6c17e-e3d%22	https://templates.hibootstrap.com/paso/default/assets/images/favicon.png	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/images/favicon.png	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:17	5570/5570	---M--	200	added ('OK')	image/png	etag:%2264f6c180-15c2%22	https://templates.hibootstrap.com/paso/default/assets/images/logo.png	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/assets/images/logo.png	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:17	33525/33525	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:13%20GMT	https://templates.hibootstrap.com/paso/default/index-2.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/index-2.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:17	33379/33379	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:16%20GMT	https://templates.hibootstrap.com/paso/default/index-3.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/index-3.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:17	14392/14392	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:16%20GMT	https://templates.hibootstrap.com/paso/default/about.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/about.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:18	13385/13385	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:21%20GMT	https://templates.hibootstrap.com/paso/default/solutions.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/solutions.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:18	14792/14792	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:18%20GMT	https://templates.hibootstrap.com/paso/default/solutions-details.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/solutions-details.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:18	13807/13807	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:13%20GMT	https://templates.hibootstrap.com/paso/default/case.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/case.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:18	14435/14435	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:16%20GMT	https://templates.hibootstrap.com/paso/default/case-details.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/case-details.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:18	14272/14272	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:14%20GMT	https://templates.hibootstrap.com/paso/default/blog.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/blog.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:19	21373/21373	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:19%20GMT	https://templates.hibootstrap.com/paso/default/blog-details.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/blog-details.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:19	13724/13724	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:15%20GMT	https://templates.hibootstrap.com/paso/default/team.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/team.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:19	14618/14618	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:17%20GMT	https://templates.hibootstrap.com/paso/default/pricing.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/pricing.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:19	13025/13025	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:19%20GMT	https://templates.hibootstrap.com/paso/default/gallery.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/gallery.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:20	16162/16162	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:16%20GMT	https://templates.hibootstrap.com/paso/default/testimonials.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/testimonials.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:20	11904/11904	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:20%20GMT	https://templates.hibootstrap.com/paso/default/singnup.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/singnup.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:20	11534/11534	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:20%20GMT	https://templates.hibootstrap.com/paso/default/signin.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/signin.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:20	2126/2126	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:18%20GMT	https://templates.hibootstrap.com/paso/default/404.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/404.html	(from https://templates.hibootstrap.com/paso/default/index.html)
11:22:20	14036/14036	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202023%2005:49:20%20GMT	https://templates.hibootstrap.com/paso/default/faq.html	C:/Mes%20Sites%20Web/eclubbbb/templates.hibootstrap.com/paso/default/faq.html	(from https://templates.hibootstrap.com/paso/default/index.html)
